id,stimulus,agent,gaze,intentionality,agency,rationality,intelligence
670,HRIES_rc3,robot,closed,3,4,6,5
670,HRIES_hc1,human,closed,5,6,4,4
670,HRIES_hc2,human,closed,6,5,4,4
670,HRIES_ro1,robot,open,4,5,6,5
670,HRIES_ho3,human,open,6,5,4,4
670,HRIES_ro2,robot,open,5,5,6,6
670,HRIES_rc1,robot,closed,6,5,6,5
670,HRIES_ho1,human,open,6,5,4,4
670,HRIES_ho2,human,open,6,5,4,4
670,HRIES_hc3,human,closed,6,5,3,4
670,HRIES_ro3,robot,open,5,5,6,5
670,HRIES_rc2,robot,closed,6,5,6,5
663,HRIES_ho3,human,open,4,4,5,6
663,HRIES_ro1,robot,open,2,2,3,3
663,HRIES_rc3,robot,closed,0,0,2,2
663,HRIES_rc1,robot,closed,1,2,3,3
663,HRIES_rc2,robot,closed,1,2,2,3
663,HRIES_hc1,human,closed,2,2,4,3
663,HRIES_hc3,human,closed,2,4,4,5
663,HRIES_ro3,robot,open,6,4,6,5
663,HRIES_ho1,human,open,5,3,5,4
663,HRIES_hc2,human,closed,0,2,2,2
663,HRIES_ho2,human,open,3,2,3,3
663,HRIES_ro2,robot,open,2,3,4,3
656,HRIES_ho3,human,open,1,0,0,3
656,HRIES_rc1,robot,closed,0,0,1,3
656,HRIES_ro1,robot,open,3,2,1,3
656,HRIES_rc3,robot,closed,3,3,3,4
656,HRIES_ho2,human,open,6,6,5,6
656,HRIES_rc2,robot,closed,1,1,1,2
656,HRIES_hc3,human,closed,1,2,1,5
656,HRIES_ro3,robot,open,3,2,2,3
656,HRIES_ro2,robot,open,0,1,2,3
656,HRIES_hc1,human,closed,2,3,2,5
656,HRIES_hc2,human,closed,4,5,3,6
656,HRIES_ho1,human,open,5,5,3,6
655,HRIES_hc2,human,closed,4,5,2,5
655,HRIES_hc3,human,closed,4,4,6,5
655,HRIES_ho2,human,open,5,5,3,4
655,HRIES_ro3,robot,open,5,4,6,3
655,HRIES_rc2,robot,closed,4,4,6,4
655,HRIES_ro2,robot,open,5,5,6,4
655,HRIES_rc3,robot,closed,5,5,6,5
655,HRIES_rc1,robot,closed,5,5,6,4
655,HRIES_ro1,robot,open,5,4,4,3
655,HRIES_ho1,human,open,5,6,2,5
655,HRIES_hc1,human,closed,5,4,2,5
655,HRIES_ho3,human,open,5,6,3,5
642,HRIES_rc3,robot,closed,5,5,5,3
642,HRIES_ro1,robot,open,3,3,6,3
642,HRIES_ro3,robot,open,4,4,4,3
642,HRIES_rc2,robot,closed,1,1,3,3
642,HRIES_ho1,human,open,3,3,3,0
642,HRIES_ho3,human,open,5,5,3,3
642,HRIES_ho2,human,open,3,3,3,3
642,HRIES_hc3,human,closed,3,3,3,3
642,HRIES_hc1,human,closed,5,3,4,3
642,HRIES_ro2,robot,open,3,1,3,3
642,HRIES_rc1,robot,closed,4,5,3,3
642,HRIES_hc2,human,closed,2,4,4,3
654,HRIES_ro3,robot,open,4,3,5,4
654,HRIES_ho1,human,open,5,5,2,5
654,HRIES_rc3,robot,closed,2,2,2,3
654,HRIES_hc2,human,closed,2,4,2,5
654,HRIES_hc1,human,closed,1,5,4,5
654,HRIES_hc3,human,closed,2,5,5,5
654,HRIES_ho2,human,open,5,5,5,5
654,HRIES_ro2,robot,open,3,3,4,3
654,HRIES_ho3,human,open,5,5,2,5
654,HRIES_ro1,robot,open,2,3,2,4
654,HRIES_rc2,robot,closed,1,3,2,2
654,HRIES_rc1,robot,closed,2,2,3,2
652,HRIES_hc3,human,closed,1,1,4,4
652,HRIES_rc2,robot,closed,1,2,6,6
652,HRIES_ho1,human,open,5,5,5,4
652,HRIES_hc1,human,closed,1,1,2,3
652,HRIES_ro2,robot,open,1,4,6,5
652,HRIES_ho3,human,open,6,5,4,5
652,HRIES_ho2,human,open,5,6,5,4
652,HRIES_hc2,human,closed,1,2,1,4
652,HRIES_ro3,robot,open,5,3,6,5
652,HRIES_rc1,robot,closed,1,4,3,5
652,HRIES_rc3,robot,closed,2,3,5,5
652,HRIES_ro1,robot,open,5,1,4,5
653,HRIES_ro3,robot,open,4,1,1,1
653,HRIES_ho1,human,open,3,4,5,5
653,HRIES_ro2,robot,open,1,0,0,1
653,HRIES_hc2,human,closed,1,2,3,4
653,HRIES_rc2,robot,closed,0,0,0,2
653,HRIES_hc1,human,closed,1,2,3,3
653,HRIES_ro1,robot,open,4,3,1,4
653,HRIES_hc3,human,closed,5,4,3,3
653,HRIES_ho2,human,open,6,6,5,5
653,HRIES_rc1,robot,closed,1,2,1,2
653,HRIES_ho3,human,open,6,5,4,4
653,HRIES_rc3,robot,closed,1,1,1,2
649,HRIES_ho1,human,open,5,3,4,4
649,HRIES_hc2,human,closed,3,5,2,4
649,HRIES_ho3,human,open,5,5,2,3
649,HRIES_ro2,robot,open,3,1,3,3
649,HRIES_hc1,human,closed,3,3,2,3
649,HRIES_hc3,human,closed,3,4,4,4
649,HRIES_rc3,robot,closed,4,4,5,3
649,HRIES_ro1,robot,open,4,3,4,4
649,HRIES_ho2,human,open,4,4,4,4
649,HRIES_rc2,robot,closed,3,1,3,3
649,HRIES_rc1,robot,closed,2,2,3,3
649,HRIES_ro3,robot,open,5,5,4,4
644,HRIES_hc2,human,closed,1,2,4,4
644,HRIES_hc1,human,closed,1,1,2,3
644,HRIES_ro3,robot,open,3,3,5,5
644,HRIES_rc2,robot,closed,2,1,4,4
644,HRIES_rc1,robot,closed,2,3,3,2
644,HRIES_rc3,robot,closed,2,4,5,4
644,HRIES_ho3,human,open,4,4,2,4
644,HRIES_ro1,robot,open,2,3,5,4
644,HRIES_ro2,robot,open,2,4,4,4
644,HRIES_hc3,human,closed,2,2,4,3
644,HRIES_ho2,human,open,5,5,3,5
644,HRIES_ho1,human,open,4,5,3,5
639,HRIES_ro1,robot,open,3,4,4,2
639,HRIES_ho2,human,open,5,4,5,4
639,HRIES_rc2,robot,closed,1,1,1,1
639,HRIES_hc2,human,closed,2,2,2,2
639,HRIES_ho1,human,open,5,4,4,3
639,HRIES_rc1,robot,closed,1,1,1,1
639,HRIES_ro2,robot,open,3,3,3,2
639,HRIES_ho3,human,open,5,5,4,4
639,HRIES_hc1,human,closed,2,2,2,2
639,HRIES_hc3,human,closed,2,2,2,2
639,HRIES_ro3,robot,open,4,4,3,3
639,HRIES_rc3,robot,closed,1,1,1,1
638,HRIES_ho3,human,open,5,4,2,1
638,HRIES_ro2,robot,open,2,2,4,3
638,HRIES_ro3,robot,open,1,4,1,4
638,HRIES_rc2,robot,closed,0,4,1,1
638,HRIES_hc3,human,closed,1,4,1,2
638,HRIES_hc1,human,closed,1,4,0,1
638,HRIES_hc2,human,closed,0,1,0,2
638,HRIES_rc1,robot,closed,0,4,0,2
638,HRIES_ho2,human,open,3,5,1,4
638,HRIES_rc3,robot,closed,1,5,1,4
638,HRIES_ho1,human,open,3,5,1,1
638,HRIES_ro1,robot,open,0,4,1,3
636,HRIES_ho2,human,open,5,2,1,2
636,HRIES_rc1,robot,closed,4,1,4,3
636,HRIES_rc3,robot,closed,4,4,6,5
636,HRIES_ho1,human,open,5,1,0,1
636,HRIES_ro3,robot,open,1,2,2,3
636,HRIES_ho3,human,open,2,3,3,3
636,HRIES_hc3,human,closed,3,1,2,1
636,HRIES_ro1,robot,open,4,3,2,2
636,HRIES_hc2,human,closed,2,2,2,1
636,HRIES_hc1,human,closed,3,2,2,1
636,HRIES_ro2,robot,open,4,4,4,1
636,HRIES_rc2,robot,closed,5,3,5,5
626,HRIES_ro3,robot,open,4,2,5,4
626,HRIES_hc3,human,closed,4,6,4,5
626,HRIES_ro1,robot,open,4,4,5,5
626,HRIES_rc3,robot,closed,3,1,4,4
626,HRIES_ho2,human,open,6,6,5,5
626,HRIES_ro2,robot,open,2,1,4,2
626,HRIES_ho3,human,open,6,6,5,5
626,HRIES_rc1,robot,closed,0,1,3,2
626,HRIES_rc2,robot,closed,0,1,2,2
626,HRIES_hc2,human,closed,3,4,3,5
626,HRIES_hc1,human,closed,2,3,4,4
626,HRIES_ho1,human,open,6,5,3,4
667,HRIES_hc1,human,closed,3,3,3,3
667,HRIES_ro2,robot,open,3,2,6,3
667,HRIES_rc1,robot,closed,3,2,4,3
667,HRIES_hc2,human,closed,4,4,4,4
667,HRIES_rc2,robot,closed,3,3,3,3
667,HRIES_ho2,human,open,4,4,4,4
667,HRIES_ho1,human,open,3,3,3,4
667,HRIES_hc3,human,closed,4,4,3,3
667,HRIES_ro3,robot,open,4,4,4,3
667,HRIES_ro1,robot,open,4,4,3,3
667,HRIES_ho3,human,open,4,4,3,3
667,HRIES_rc3,robot,closed,3,3,2,3
666,HRIES_ho2,human,open,2,5,5,5
666,HRIES_ho1,human,open,2,3,4,4
666,HRIES_rc3,robot,closed,0,1,5,3
666,HRIES_ro3,robot,open,3,1,4,4
666,HRIES_hc3,human,closed,0,1,1,2
666,HRIES_rc2,robot,closed,0,0,3,2
666,HRIES_ho3,human,open,2,5,6,5
666,HRIES_rc1,robot,closed,1,1,3,3
666,HRIES_hc2,human,closed,1,3,3,3
666,HRIES_hc1,human,closed,1,2,3,3
666,HRIES_ro2,robot,open,3,3,3,4
666,HRIES_ro1,robot,open,5,5,5,6
661,HRIES_ho3,human,open,2,6,1,5
661,HRIES_hc1,human,closed,5,1,6,6
661,HRIES_ho1,human,open,6,3,3,6
661,HRIES_ro1,robot,open,1,1,6,4
661,HRIES_ho2,human,open,6,6,6,6
661,HRIES_rc3,robot,closed,3,0,6,3
661,HRIES_rc1,robot,closed,0,3,3,3
661,HRIES_ro3,robot,open,6,6,6,6
661,HRIES_hc2,human,closed,6,6,6,6
661,HRIES_hc3,human,closed,6,6,6,6
661,HRIES_ro2,robot,open,0,3,3,3
661,HRIES_rc2,robot,closed,6,3,6,6
660,HRIES_ro2,robot,open,3,1,6,5
660,HRIES_ro1,robot,open,2,2,2,3
660,HRIES_rc2,robot,closed,0,1,3,3
660,HRIES_ho1,human,open,3,4,2,3
660,HRIES_rc1,robot,closed,0,1,1,2
660,HRIES_hc2,human,closed,0,1,1,2
660,HRIES_ro3,robot,open,1,1,2,2
660,HRIES_rc3,robot,closed,0,1,1,1
660,HRIES_ho2,human,open,4,4,5,5
660,HRIES_hc3,human,closed,0,0,0,3
660,HRIES_hc1,human,closed,0,0,2,1
660,HRIES_ho3,human,open,4,5,5,5
650,HRIES_ho3,human,open,0,0,0,0
650,HRIES_ho2,human,open,0,0,0,0
650,HRIES_hc2,human,closed,0,0,0,0
650,HRIES_rc2,robot,closed,0,0,0,0
650,HRIES_ro3,robot,open,2,0,2,2
650,HRIES_ro2,robot,open,1,0,2,2
650,HRIES_hc3,human,closed,0,0,0,0
650,HRIES_ho1,human,open,1,0,0,0
650,HRIES_ro1,robot,open,1,0,3,5
650,HRIES_rc1,robot,closed,0,0,0,2
650,HRIES_rc3,robot,closed,0,0,0,2
650,HRIES_hc1,human,closed,0,0,0,0
637,HRIES_ro3,robot,open,0,0,0,0
637,HRIES_hc3,human,closed,0,0,0,0
637,HRIES_ho2,human,open,3,3,3,3
637,HRIES_ho1,human,open,4,3,3,3
637,HRIES_ho3,human,open,3,3,3,3
637,HRIES_rc1,robot,closed,0,0,0,0
637,HRIES_ro1,robot,open,0,0,0,0
637,HRIES_rc3,robot,closed,0,0,0,0
637,HRIES_hc2,human,closed,0,0,0,0
637,HRIES_ro2,robot,open,0,0,0,0
637,HRIES_hc1,human,closed,0,0,0,0
637,HRIES_rc2,robot,closed,0,0,0,0
632,HRIES_ro2,robot,open,1,3,6,6
632,HRIES_rc2,robot,closed,1,1,5,5
632,HRIES_ho3,human,open,6,5,4,5
632,HRIES_ro3,robot,open,5,6,6,6
632,HRIES_ro1,robot,open,1,0,4,4
632,HRIES_ho2,human,open,6,6,6,6
632,HRIES_hc3,human,closed,0,4,4,5
632,HRIES_rc1,robot,closed,0,3,4,4
632,HRIES_hc1,human,closed,0,4,2,4
632,HRIES_ho1,human,open,6,6,6,6
632,HRIES_rc3,robot,closed,0,1,4,2
632,HRIES_hc2,human,closed,0,3,5,5
630,HRIES_rc1,robot,closed,5,1,5,5
630,HRIES_ho3,human,open,5,5,4,4
630,HRIES_hc3,human,closed,2,2,2,4
630,HRIES_rc3,robot,closed,2,1,4,4
630,HRIES_ro1,robot,open,5,1,5,5
630,HRIES_ro3,robot,open,4,1,4,2
630,HRIES_rc2,robot,closed,2,1,4,2
630,HRIES_hc1,human,closed,2,5,4,5
630,HRIES_ho2,human,open,5,4,4,5
630,HRIES_ro2,robot,open,2,1,3,4
630,HRIES_hc2,human,closed,1,2,3,4
630,HRIES_ho1,human,open,4,4,4,5
629,HRIES_ho3,human,open,5,4,4,3
629,HRIES_ho1,human,open,4,3,3,4
629,HRIES_hc1,human,closed,1,1,2,1
629,HRIES_rc1,robot,closed,2,3,4,3
629,HRIES_hc3,human,closed,0,1,3,3
629,HRIES_rc3,robot,closed,0,2,1,3
629,HRIES_ho2,human,open,4,4,4,4
629,HRIES_hc2,human,closed,3,3,3,3
629,HRIES_ro2,robot,open,3,2,3,4
629,HRIES_rc2,robot,closed,2,2,3,3
629,HRIES_ro1,robot,open,6,4,4,3
629,HRIES_ro3,robot,open,4,4,4,4
