sender,sender_type,sender_id,...4,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,consent,age,gender,German,response,response_action,image,word,correct,practice,correctResponse,intentional,selb,rational,intelligent,angstKI,vetrauenKI,ZerstoerungKI,BereicherungKI,ArbeitslosigkeitKI,comment,url.srid,meta.labjs_version,meta.location,meta.userAgent,meta.platform,meta.language,meta.locale,meta.timeZone,meta.timezoneOffset,meta.screen_width,meta.screen_height,meta.scroll_width,meta.scroll_height,meta.window_innerWidth,meta.window_innerHeight,meta.devicePixelRatio,meta.labjs_build.flavor,meta.labjs_build.commit,id,agent,gaze,word_valence
HRIES,html.Form,8_0,,form submission,34656.152000011294,1031046.100000036,1031033.467,1031066.758,1065722.9100000113,1065723.31999999,2020-10-21T10:01:42.144Z,1065741.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_1,,form submission,12476.699000037042,1065723.560000013,1065708.351,1065741.666,1078218.365000037,1078218.6700000311,2020-10-21T10:01:54.639Z,1078238.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_2,,form submission,17550.249000007287,1078218.990000023,1078205.332,1078238.631,1095788.8800000073,1095789.6300000139,2020-10-21T10:02:12.210Z,1095808.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_3,,form submission,11154.710000023479,1095789.7900000098,1095767.709,1095808.715,1106963.4250000236,1106963.8050000067,2020-10-21T10:02:23.384Z,1106981.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_4,,form submission,8222.298999997787,1106964.100000041,1106948.348,1106981.636,1115203.9349999977,1115204.235000012,2020-10-21T10:02:31.625Z,1115229.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_5,,form submission,9816.307000001892,1115204.475000035,1115196.877,1115229.628,1125045.935000002,1125046.5149999945,2020-10-21T10:02:41.466Z,1125060.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_6,,form submission,9211.991000012262,1125046.720000042,1125027.292,1125060.569,1134272.5600000122,1134272.8650000063,2020-10-21T10:02:50.692Z,1134291.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,6,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_7,,form submission,15687.651000042213,1134273.04,1134258.323,1134291.669,1149979.3200000422,1149979.6400000341,2020-10-21T10:03:06.399Z,1150004.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_8,,form submission,12190.187000028556,1149979.8300000257,1149971.194,1150004.533,1162194.7200000286,1162195.0550000183,2020-10-21T10:03:18.614Z,1162218.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_9,,form submission,9841.097000042675,1162195.234999992,1162184.908,1162218.198,1172059.2950000428,1172059.6350000123,2020-10-21T10:03:28.479Z,1172082.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_10,,form submission,10235.07199999597,1172059.8750000354,1172049.131,1172082.488,1182317.5599999959,1182317.86499999,2020-10-21T10:03:38.739Z,1182330.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,5,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_11,,form submission,9069.442000006093,1182318.1000000332,1182313.461,1182330.013,1191399.4550000061,1191399.7250000248,2020-10-21T10:03:47.821Z,1191411.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA
HRIES,html.Form,8_0,,form submission,157192.04000000004,1180021,1180017.1,1180161.96,1337354,1337356,2020-10-20T14:42:05.305Z,1337369.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_1,,form submission,14205.419999999925,1337356,1337353.16,1337369.58,1351575,1351575,2020-10-20T14:42:19.525Z,1351599.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_2,,form submission,12552.340000000084,1351575,1351572.26,1351599.66,1364152,1364152,2020-10-20T14:42:32.102Z,1364178.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_3,,form submission,12417.939999999944,1364152,1364150.12,1364178.06,1376596,1376596,2020-10-20T14:42:44.545Z,1376625.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_4,,form submission,11928.679999999935,1376596,1376593.88,1376625.32,1388554,1388555,2020-10-20T14:42:56.505Z,1388589.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_5,,form submission,11006.659999999916,1388555,1388552.44,1388589.34,1399596,1399596,2020-10-20T14:43:07.546Z,1399619.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_6,,form submission,11164.620000000112,1399598,1399591.56,1399619.38,1410784,1410785,2020-10-20T14:43:18.735Z,1410815.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_7,,form submission,12604.360000000102,1410785,1410782.4,1410815.64,1423420,1423421,2020-10-20T14:43:31.370Z,1423446.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_8,,form submission,9849.560000000056,1423421,1423416.94,1423446.44,1433296,1433296,2020-10-20T14:43:41.245Z,1433326.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_9,,form submission,10646.100000000093,1433296,1433294.44,1433326.9,1443973,1443974,2020-10-20T14:43:51.923Z,1444006.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_10,,form submission,11553.520000000019,1443974,1443971.38,1444006.48,1455560,1455560,2020-10-20T14:44:03.510Z,1455587.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_11,,form submission,10716.939999999944,1455561,1455559,1455587.06,1466304,1466305,2020-10-20T14:44:14.255Z,1466334.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
HRIES,html.Form,8_0,,form submission,21352.900000000023,925322,925327.44,925344.1,946697,946698,2020-10-20T12:20:20.411Z,946710.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_1,,form submission,18355.119999999995,946699,946694.22,946710.88,965066,965067,2020-10-20T12:20:38.779Z,965094.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_2,,form submission,12603.680000000051,965067,965077.66,965094.32,977698,977699,2020-10-20T12:20:51.412Z,977727.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,4,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_3,,form submission,10285.280000000028,977699,977711.06,977727.72,988013,988013,2020-10-20T12:21:01.727Z,988027.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_4,,form submission,9782.219999999972,988014,988011.1,988027.78,997810,997810,2020-10-20T12:21:11.523Z,997827.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,3,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_5,,form submission,10139.180000000051,997810,997811.16,997827.82,1007967,1007967,2020-10-20T12:21:21.680Z,1007994.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_6,,form submission,10965.459999999963,1007968,1007977.88,1007994.54,1018960,1018961,2020-10-20T12:21:32.674Z,1018977.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_7,,form submission,10647.060000000056,1018962,1018961.28,1018977.94,1029625,1029626,2020-10-20T12:21:43.338Z,1029644.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_8,,form submission,11090.339999999967,1029626,1029628,1029644.66,1040735,1040735,2020-10-20T12:21:54.449Z,1040761.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_9,,form submission,12615.619999999995,1040736,1040744.72,1040761.38,1053377,1053378,2020-10-20T12:22:07.092Z,1053394.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_10,,form submission,11397.219999999972,1053379,1053378.12,1053394.78,1064792,1064793,2020-10-20T12:22:18.506Z,1064811.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
HRIES,html.Form,8_11,,form submission,17863.47999999998,1064794,1064794.84,1064811.52,1082675,1082676,2020-10-20T12:22:36.389Z,1082694.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
